Job Title/Requirement Name,Job Code,STATE,DISTRICT,Zone,Status,No Of Openings,Start Date,Closed Date,SPOC,Shared on,Industry,Company, Vertical,Division,CtC -min,CTC-Max,JD.attchment attachment,HR.person,Email id,Phone nr,nr of CV shared,HR manger,email.id,phone nr,stakeholder,email.id,phone.nr,MLI CODE of selected candidate ,Joining date 
Branch Relationship Manager-Rajkot,MLI16370,GUJARAT,Rajkot ,West,open,1,3/4/2020,2020-06-30,,,Insurance,Max,Agency,Bancca,,,,,,,,,,,,,,,
Financial Sales Manager - Bancassurance-Patna,MLI16329,BIHAR ,Patna,East,open,1,3/2/2020,2020-06-30,,,Insurance,Max,Agency,Agencies,,,,,,,,,,,,,,,
Senior Associate Partner - Agency Management-Jalandhar,MLI16763,PUNJAB ,Jalandhar ,North,open,1,4/17/2020,2020-06-30,,,Insurance,Max,Agency,Agencies,,,,,,,,,,,,,,,
Senior Associate Partner - Agency Management-jammu,MLI16761,JAMMU_KASHMIR,Jammu ,North,open,1,4/17/2020,2020-06-30,,,Insurance,Max,Agency,Agencies,,,,,,,,,,,,,,,
Senior Associate Partner - Agency Management-chandighar,MLI16760,PUNJAB ,Chandigrah,North,open,1,4/17/2020,2020-06-30,,,Insurance,Max,Agency,Agencies,,,,,,,,,,,,,,,
Associate Agency Development Manager,MLI16810,KARNATAKA,Bangalore Urban ,South,open,6,4/29/2020,2020-06-30,,,Insurance,Max,Agency,Agencies,,,,,,,,,,,,,,,
Associate Agency Development Manager,MLI16809,KARNATAKA,Bangalore Urban ,South,open,8,4/29/2020,2020-06-30,,,Insurance,Max,Agency,Agencies,,,,,,,,,,,,,,,
Associate Agency Development Manager,MLI16808,KARNATAKA,Bangalore Urban ,South,open,8,4/29/2020,2020-06-30,,,Insurance,Max,Agency,Agencies,,,,,,,,,,,,,,,
Associate Agency Development Manager,MLI16777,UTTAR_PRADESH,Allahabad ,North,open,5,4/18/2020,2020-06-30,,,Insurance,Max,Agency,Agencies,,,,,,,,,,,,,,,
Associate BDM -APC,MLI16775,GUJARAT,Ahmedabad,West,open,4,4/17/2020,2020-06-30,,,Insurance,Max,Agency,APC,,,,,,,,,,,,,,,
Associate BDM -APC,MLI16774,GUJARAT,Ahmedabad,West,open,4,4/17/2020,2020-06-30,,,Insurance,Max,Agency,APC,,,,,,,,,,,,,,,
Business Development Manager,MLI16773,MAHARASHTRA ,Ahmednagar,West,open,2,4/17/2020,2020-06-30,,,Insurance,Max,Agency,APC,,,,,,,,,,,,,,,
Business Development Manager,MLI16772,PUNJAB ,Chandigrah,North,open,3,4/17/2020,2020-06-30,,,Insurance,Max,Agency,APC,,,,,,,,,,,,,,,
Business Development Manager,MLI16771,PUNJAB ,Ludhiana,North,open,3,4/17/2020,2020-06-30,,,Insurance,Max,Agency,APC,,,,,,,,,,,,,,,
Business Development Manager,MLI16770,MAHARASHTRA , Pune,West,open,2,4/17/2020,2020-06-30,,,Insurance,Max,Agency,APC,,,,,,,,,,,,,,,
Business Development Manager,MLI16769,MAHARASHTRA ,Aurangabad Central,West,open,2,4/17/2020,2020-06-30,,,Insurance,Max,Agency,APC,,,,,,,,,,,,,,,
Business Development Manager,MLI16768,MAHARASHTRA ,Kolhapur,West,open,2,4/17/2020,2020-06-30,,,Insurance,Max,Agency,APC,,,,,,,,,,,,,,,
Associate Agency Development Manager,MLI16758,NCT_DELHI,South Delhi ,North,open,1,4/16/2020,2020-06-30,,,Insurance,Max,Agency,APC,,,,,,,,,,,,,,,
Associate Agency Development Manager,MLI16757,NCT_DELHI,South Delhi ,North,open,1,4/16/2020,2020-06-30,,,Insurance,Max,Agency,APC,,,,,,,,,,,,,,,
Business Development Manager,MLI16752,RAJASTHAN,Jaipur ,North,open,3,4/15/2020,2020-06-30,,,Insurance,Max,Agency,APC,,,,,,,,,,,,,,,
Business Development Manager,MLI16751,UTTARAKHAND ,Dehradun ,North,open,3,4/15/2020,2020-06-30,,,Insurance,Max,Agency,APC,,,,,,,,,,,,,,,
Associate BDM -APC,MLI16750,HARYANA ,Karnal ,North,open,3,4/15/2020,2020-06-30,,,Insurance,Max,Agency,APC,,,,,,,,,,,,,,,
Associate Agency Development Manager,MLI16745,TELANGANA ,Hyderabad ,South,open,6,4/15/2020,2020-06-30,,,Insurance,Max,Agency,Agencies,,,,,,,,,,,,,,,
Associate Agency Development Manager,MLI16744,TELANGANA ,Hyderabad ,South,open,6,4/15/2020,2020-06-30,,,Insurance,Max,Agency,Agencies,,,,,,,,,,,,,,,
Associate Agency Development Manager,MLI16743,TELANGANA ,Hyderabad ,South,open,6,4/15/2020,2020-06-30,,,Insurance,Max,Agency,Agencies,,,,,,,,,,,,,,,
Associate Agency Development Manager,MLI16742,TELANGANA ,Hyderabad ,South,open,6,4/15/2020,2020-06-30,,,Insurance,Max,Agency,Agencies,,,,,,,,,,,,,,,
Associate Agency Development Manager,MLI16741,ANDHRA_PRADESH,Vizianagaram,South,open,1,4/14/2020,2020-06-30,,,Insurance,Max,Agency,Agencies,,,,,,,,,,,,,,,
Associate Agency Development Manager,MLI16740,ANDHRA_PRADESH,gutur,South,open,2,4/14/2020,2020-06-30,,,Insurance,Max,Agency,Agencies,,,,,,,,,,,,,,,
Associate Agency Development Manager,MLI16738,RAJASTHAN,Bikaner ,North,open,10,4/14/2020,2020-06-30,,,Insurance,Max,Agency,Agencies,,,,,,,,,,,,,,,
Associate Agency Development Manager,MLI16737,RAJASTHAN,Alwar ,North,open,10,4/14/2020,2020-06-30,,,Insurance,Max,Agency,Agencies,,,,,,,,,,,,,,,
Associate Agency Development Manager,MLI16736,RAJASTHAN,Ajmer ,North,open,10,4/14/2020,2020-06-30,,,Insurance,Max,Agency,Agencies,,,,,,,,,,,,,,,
Associate Agency Development Manager,MLI16730,ANDHRA_PRADESH,Visakhapatnam North,South,open,1,4/9/2020,2020-06-30,,,Insurance,Max,Agency,Agencies,,,,,,,,,,,,,,,
Future- Agencies,CBC-0001,Other,Other,,open,10,4/9/2020,2020-06-30,,,Insurance,Other,Other,Agencies,,,,,,,,,,,,,,,
Future- APC,CBC-0002,Other,Other,,open,10,4/9/2020,2020-06-30,,,Insurance,Other,Other,APC,,,,,,,,,,,,,,,
Future-Banca,CBC-0003,Other,Other,,open,10,4/9/2020,2020-06-30,,,Insurance,Max,Other,Axis,,,,,,,,,,,,,,,
Future- Direct,CBC-0004,Other,Other,,open,10,4/9/2020,2020-06-30,,,Insurance,Other,Other,Direct,,,,,,,,,,,,,,,
Future-Other,CBC-0005,Other,Other,,open,10,4/9/2020,2020-06-30,,,Insurance,Other,Other,Other,,,,,,,,,,,,,,,
Associate Agency Development Manager,MLI16825,KARNATAKA,Mysore,South,open,3,5/1/2020,2020-06-30,,,Insurance,Max,Agencies,Agencies,,,,,,,,,,,,,,,
Associate Agency Development Manager,MLI16824,KARNATAKA,Mysore,South,open,5,5/1/2020,2020-06-30,,,Insurance,Max,Agencies,Agencies,,,,,,,,,,,,,,,
Associate Agency Development Manager,MLI16823,KARNATAKA,Bangalore Urban ,South,open,1,5/1/2020,2020-06-30,,,Insurance,Max,Agencies,Agencies,,,,,,,,,,,,,,,
Associate Agency Development Manager,MLI16822,KARNATAKA,Bangalore Urban ,South,open,3,5/1/2020,2020-06-30,,,Insurance,Max,Agencies,Agencies,,,,,,,,,,,,,,,
Associate Agency Development Manager,MLI16820,KARNATAKA,Bangalore Urban ,South,open,6,5/1/2020,2020-06-30,,,Insurance,Max,Agencies,Agencies,,,,,,,,,,,,,,,
Associate Agency Development Manager,MLI16819,NCT_DELHI,South Delhi ,North,open,1,5/1/2020,2020-06-30,,,Insurance,Max,Agencies,Agencies,,,,,,,,,,,,,,,
Associate Agency Development Manager,MLI16818,KARNATAKA,Mysore,South,open,1,5/1/2020,2020-06-30,,,Insurance,Max,Agencies,Agencies,,,,,,,,,,,,,,,
Associate Agency Development Manager,MLI16811,KARNATAKA,Mysore,South,open,5,5/1/2020,2020-06-30,,,Insurance,Max,Agencies,Agencies,,,,,,,,,,,,,,,
Fos,,Other,Other,,open,,,2020-06-30,,,,,,,,,,,,,,,,,,,,,
Area Head-Retail-Begusarai/Dharbhanga/ Patna,,BIHAR ,Patna,East,open,,,2020-06-30,,,,,,,,,,,,,,,,,,,,,
FOS- Malda/ Siliguri,,WEST_BENGAL,Siliguri,East,open,,,2020-06-30,,,,,,,,,,,,,,,,,,,,,
Area Head-Liabiability-Bilaspur,,CHATTISGARH,Bilaspur,C.East,open,,,2020-06-30,,,,Max,,Axis,,,,,,,,,,,,,,,
AH-Banca-Bhubaneshwar/ Cluster Head- Retail,,ODISHA ,bhubaneswar,East,open,,,2020-06-30,,,,Max,,Axis,,,,,,,,,,,,,,,
Cluster Manager-Banca-Ranchi,,BIHAR ,Patna,East,open,,,2020-06-30,,,,Max,,Axis,,,,,,,,,,,,,,,
Customer Services Officer,,UTTAR_PRADESH,Lucknow ,North,open,,,2020-06-30,,,,Max,,CSO,,,,,,,,,,,,,,,
Associate Agency Development Manager,MLI16978,TELANGANA ,Hyderabad ,South,open,1,2020-06-01,2020-07-16,,,Insurance,Max,Agencies,Agencies,,,,,,,,,,,,,,,
Associate Agency Development Manager,MLI16977,TELANGANA ,Hyderabad ,South,open,5,2020-06-01,2020-07-16,,,Insurance,Max,Agencies,Agencies,,,,,,,,,,,,,,,
Associate Agency Development Manager,MLI16976,TELANGANA ,Hyderabad ,South,open,1,2020-06-01,2020-07-16,,,Insurance,Max,Agencies,Agencies,,,,,,,,,,,,,,,
Associate Agency Development Manager,MLI16975,TELANGANA ,Hyderabad ,South,open,5,2020-06-01,2020-07-16,,,Insurance,Max,Agencies,Agencies,,,,,,,,,,,,,,,
Associate Agency Development Manager,MLI16974,ANDHRA_PRADESH,Other,South,open,1,2020-06-01,2020-07-16,,,Insurance,Max,Agencies,Agencies,,,,,,,,,,,,,,,
AM (Service to Sales) - Chandigarh,MLI16939,PUNJAB ,Chandigrah,North,open,1,2020-05-22,2020-07-06,,,Insurance,Max,F2F/ SPARC,Direct,,,,,,,,,,,,,,,
RM (Service to Sales) - Chandigarh,MLI16938,PUNJAB ,Chandigrah,North,open,1,2020-05-22,2020-07-21,,,Insurance,Max,F2F/ SPARC,Direct,,,,,,,,,,,,,,,
SRM (Service to Sales) - Chandigarh,MLI16937,PUNJAB ,Chandigrah,North,open,1,2020-05-22,2020-07-21,,,Insurance,Max,F2F/ SPARC,Direct,,,,,,,,,,,,,,,
RM (Service to Sales) - Delhi,MLI16936,NCT_DELHI,South Delhi ,North,open,1,2020-05-22,2020-07-21,,,Insurance,Max,F2F/ SPARC,Direct,,,,,,,,,,,,,,,
SO (Service to Sales) - Gurugram,MLI16935,HARYANA ,Gurugram,North,open,1,2020-05-22,2020-07-06,,,Insurance,Max,F2F/ SPARC,Direct,,,,,,,,,,,,,,,
DM (Service to Sales) - Dehradun,MLI16934,UTTARAKHAND ,Dehradun ,North,open,1,2020-05-22,2020-07-06,,,Insurance,Max,F2F/ SPARC,Direct,,,,,,,,,,,,,,,
SRM (Service to Sales) - Lucknow,MLI16933,UTTAR_PRADESH,lucknow,North,open,1,2020-05-22,2020-07-21,,,Insurance,Max,F2F/ SPARC,Direct,,,,,,,,,,,,,,,
SRM (Service to Sales) - Dehradun,MLI16932,UTTARAKHAND ,dehradun,North,open,1,2020-05-22,2020-07-21,,,Insurance,Max,F2F/ SPARC,Direct,,,,,,,,,,,,,,,
Associate Agency Development Manager,MLI16918,PUNJAB ,Chandigrah,North,open,5,2020-05-21,2020-07-05,,,Insurance,Max,Agency,Agencies,,,,,,,,,,,,,,,
BRM - GO3,MLI16876,NCT_DELHI,South Delhi ,North,open,1,2020-05-08,2020-07-07,,,Insurance,Max,Direct,Direct,,,,,,,,,,,,,,,
BRM - GO14,MLI16875,NCT_DELHI,South Delhi ,North,open,1,2020-05-08,2020-07-,,,Insurance,Max,Direct,Direct,,,,,,,,,,,,,,,
Corporate Agency Manager SDM- 1 yr(Ambikapur/Bilaspur/Korba/Raigarh),ID- 1481,WEST_BENGAL, ,EAST,open,10,2020-05-22,2020-07-21,,,Insurance,HDFC,Agency,Agencies,220000,220000,,Lokendra,,,,,,,,,,,
Corporate Agency Manager BDM- 2 yr(Ambikapur/Bilaspur/Korba/Raigarh),ID- 1482,WEST_BENGAL,,EAST,open,10,2020-05-22,2020-07-21,,,Insurance,HDFC,Agency,Agencies,240000,240000,,Lokendra,,,,,,,,,,,
Corporate Agency Manager SM- 3 yr,ID- 1483,WEST_BENGAL,,EAST,open,10,2020-05-22,2020-07-21,,,Insurance,HDFC,Agency,Agencies,255000,255000,,Lokendra,,,,,,,,,,,
Corporate Agency Manager SDM- 1 yr(Perumbavor/aluva-Pump junction/koch-Pallath Enclave/thodupuzha-Palaroad),ID- 1484,TAMILNADU,Other,SOUTH,open,10,2020-05-22,2020-07-21,,,Insurance,HDFC,Agency,Agencies,220000,220000,,Jinson,,,,,,,,,,,
Corporate Agency Manager BDM- 2 yr(Perumbavor/aluva-Pump junction/koch-Pallath Enclave/thodupuzha-Palaroad),ID- 1485,TAMILNADU,,SOUTH,,,,,,,,,,,240000,240000,,Jinson,,,,,,,,,,,
CAM-hdfc- 1 yr (Kochi-seaport-airport/ Kochi-Pachalam/ idukki(thoudupuzha)/Kochi(mavattupuzha),ID- 1486,TAMILNADU,,SOUTH,open,10,2020-05-22,2020-07-21,,,Insurance,HDFC,Bancassurance,Bancca,260000,260000,,Jinson,,,,,,,,,,,
CAM-CSB- 1 yr (Perumbavor/Irinjalakuda/Chalakudy),ID- 1487,TAMILNADU,Other,SOUTH,open,10,2020-05-22,2020-07-21,,,Insurance,HDFC,Bancassurance,Bancca,260000,260000,,Jinson,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
